,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
0,Republican,Ben Carson,Republican,Ben Carson,1.0,0.0,0.0,1.0,0.0
1,Republican,Ben Carson,Democrat,Bernie Sanders,-0.027567788964772157,0.78757815231264194,0.22164245002112268,-0.059890175424534689,0.47884817356456993
2,Republican,Ben Carson,Republican,Carly Fiorina,0.022897882765040567,0.82291417475522399,0.051493694463926369,0.011555769721331436,0.019001582777755835
3,Republican,Ben Carson,Republican,Chris Christie,-0.26434172510120796,0.0085325759857437303,0.023968224544142987,-0.064367538823631137,0.019577099440202844
4,Republican,Ben Carson,Republican,Donald Trump,-0.16760236527966621,0.099028615208164528,0.15590697861261232,-0.25969788533507815,0.29679925274296021
5,Republican,Ben Carson,Democrat,Hillary Clinton,0.056138720863162746,0.58297269538091767,0.21656030147425293,0.11930603401977442,0.50620078695082571
6,Republican,Ben Carson,Republican,Jeb Bush,-0.15512510481320002,0.12720787609619846,0.033755649571709082,-0.051934201667578998,0.029169485770351652
7,Republican,Ben Carson,Republican,John Kasich,-0.14549459041511001,0.15287166576365688,0.02719197978525207,-0.03918044479421736,0.016503473397559473
8,Republican,Ben Carson,Republican,Marco Rubio,-0.16113962802413692,0.11294108603242045,0.157229374053591,-0.25152699124833322,0.21474067781873937
9,Republican,Ben Carson,Democrat,Martin O'Malley,-0.12453375195795838,0.22179613579397911,0.063145524763633984,-0.07765319242772642,0.016432053659877047
10,Republican,Ben Carson,Republican,Mike Huckabee,-0.18063750302947024,0.075084276967459854,0.049542464845245736,-0.089150712713881364,0.033495735117914933
11,Republican,Ben Carson,Republican,Rand Paul,-0.35488927485039579,0.0003363040908804999,0.047679915090593813,-0.17733519259664021,0.053011666147140368
12,Republican,Ben Carson,Republican,Rick Santorum,0.036259461704422978,0.72299311734772664,0.03100281336574191,0.01102157744635433,0.0088234206153455022
13,Republican,Ben Carson,Republican,Ted Cruz,-0.05590571187706242,0.58454000303851006,0.16085365169624352,-0.088247511701775763,0.30818586677407261
14,Democrat,Bernie Sanders,Republican,Ben Carson,-0.027567788964772157,0.78757815231264194,0.046961898211340565,-0.012689610324548791,0.11182250097641384
15,Democrat,Bernie Sanders,Democrat,Bernie Sanders,1.0,0.0,0.0,1.0,0.0
16,Democrat,Bernie Sanders,Republican,Carly Fiorina,-0.064063703941009298,0.53085233870907,0.023660354356642183,-0.014882022133992326,0.027256397111598454
17,Democrat,Bernie Sanders,Republican,Chris Christie,0.09078880549756746,0.37396566913894391,0.011392384672532807,0.01017606415326641,0.0079570119726412817
18,Democrat,Bernie Sanders,Republican,Donald Trump,-0.23117750983371541,0.022004209436897598,0.070822683799647138,-0.16488464049569559,0.34722600166116002
19,Democrat,Bernie Sanders,Democrat,Hillary Clinton,-0.95769844933233939,9.9299150287953189e-54,0.028731723103770826,-0.9368607205050471,0.9615027808541502
20,Democrat,Bernie Sanders,Republican,Jeb Bush,0.01379404919242126,0.89276332580027995,0.015726815219683606,0.0021257368094152232,0.02266903705411448
21,Democrat,Bernie Sanders,Republican,John Kasich,0.27316615266619931,0.0064991206998580081,0.012170078048230752,0.033860685971855625,-0.0036423767817627198
22,Democrat,Bernie Sanders,Republican,Marco Rubio,0.29022083541840282,0.0037454221062593785,0.070175678708966821,0.20852454264192535,0.089592474779826528
23,Democrat,Bernie Sanders,Democrat,Martin O'Malley,-0.21751937298334625,0.031433935543861827,0.028592867589430304,-0.062433335132950366,0.037714673639453057
24,Democrat,Bernie Sanders,Republican,Mike Huckabee,-0.031245821079893609,0.7600434706229261,0.023174775050729898,-0.0070983137264248293,0.02741525015730437
25,Democrat,Bernie Sanders,Republican,Rand Paul,0.34792251836844496,0.00044741709442508307,0.022008723578222544,0.080025969608521694,-0.0035681892723694458
26,Democrat,Bernie Sanders,Republican,Rick Santorum,0.09322345701719903,0.36123488928897651,0.014217975039138409,0.013043494473635529,0.0038266116826921742
27,Democrat,Bernie Sanders,Republican,Ted Cruz,-0.20364348437328494,0.044301230924677984,0.07260386220716307,-0.14796641655232617,0.36876258045787774
28,Republican,Carly Fiorina,Republican,Ben Carson,0.022897882765040567,0.82291417475522399,0.20218407672893482,0.045372402511074911,0.10490889692064335
29,Republican,Carly Fiorina,Democrat,Bernie Sanders,-0.064063703941009298,0.53085233870907,0.43845138000762357,-0.27577960344964808,0.47808770585752253
30,Republican,Carly Fiorina,Republican,Carly Fiorina,1.0,0.0,0.0,1.0,0.0
31,Republican,Carly Fiorina,Republican,Chris Christie,-0.13019303396283827,0.20133591003734413,0.04882584518254094,-0.062818184412888251,0.014035771852105557
32,Republican,Carly Fiorina,Republican,Donald Trump,-0.12243421422555403,0.22974725941351318,0.31100644695728991,-0.3759131488934056,0.27691897817455852
33,Republican,Carly Fiorina,Democrat,Hillary Clinton,0.083576247613630555,0.41325448120104791,0.42829069112281776,0.35194857674206209,0.51170855021323713
